travel_date,month,month_name,year,origin,destination,airline,booking_window,seasonal_mult,base_price,final_price
2023-07-19,7,July,2023,Los Angeles (LAX),Osaka (KIX),American Airlines,140,0.92,788,681.48
2023-11-17,11,November,2023,San Francisco (SFO),Osaka (KIX),ANA,147,1.25,871,1083.69
2023-03-11,3,March,2023,New York (JFK),Osaka (KIX),Japan Airlines,10,1.45,1376,2268.18
2023-04-17,4,April,2023,Chicago (ORD),Tokyo (NRT),American Airlines,121,1.55,1106,1511.2
2023-09-15,9,September,2023,San Francisco (SFO),Tokyo (NRT),United Airlines,56,1.05,765,764.04
2023-04-05,4,April,2023,New York (JFK),Tokyo (NRT),American Airlines,21,1.55,1165,1981.92
2024-09-05,9,September,2024,Seattle (SEA),Osaka (KIX),ANA,170,1.05,894,871.94
2023-03-30,3,March,2023,New York (JFK),Osaka (KIX),Japan Airlines,161,1.45,1376,1862.96
2023-07-09,7,July,2023,Los Angeles (LAX),Tokyo (HND),American Airlines,35,0.92,759,836.5
2024-04-23,4,April,2024,Los Angeles (LAX),Tokyo (HND),United Airlines,176,1.55,735,1103.88
2023-10-11,10,October,2023,New York (JFK),Osaka (KIX),Delta Airlines,116,1.3,1282,1729.5
2023-03-17,3,March,2023,San Francisco (SFO),Tokyo (HND),ANA,77,1.45,800,1236.38
2023-12-07,12,December,2023,New York (JFK),Tokyo (HND),Delta Airlines,22,1.0,1176,1251.17
2024-03-27,3,March,2024,San Francisco (SFO),Tokyo (HND),ANA,24,1.45,800,1144.92
2024-02-07,2,February,2024,Chicago (ORD),Tokyo (NRT),American Airlines,52,0.85,1106,919.71
2024-07-07,7,July,2024,Chicago (ORD),Tokyo (NRT),ANA,117,0.92,1153,1086.01
2024-03-28,3,March,2024,Los Angeles (LAX),Osaka (KIX),Japan Airlines,73,1.45,874,1322.12
2023-03-14,3,March,2023,New York (JFK),Tokyo (NRT),Japan Airlines,153,1.45,1294,1921.11
2024-05-24,5,May,2024,San Francisco (SFO),Tokyo (HND),Japan Airlines,45,1.4,847,1107.35
2023-09-30,9,September,2023,New York (JFK),Tokyo (NRT),Delta Airlines,45,1.05,1200,1348.45
2023-01-04,1,January,2023,San Francisco (SFO),Tokyo (HND),American Airlines,138,0.82,765,538.09
2024-02-18,2,February,2024,Chicago (ORD),Tokyo (HND),Delta Airlines,24,0.85,1106,1038.43
2024-01-29,1,January,2024,Seattle (SEA),Tokyo (NRT),Japan Airlines,130,0.82,918,763.76
2024-01-03,1,January,2024,New York (JFK),Osaka (KIX),American Airlines,92,0.82,1247,907.67
2024-10-09,10,October,2024,San Francisco (SFO),Tokyo (HND),Japan Airlines,172,1.3,847,1101.57
2023-12-15,12,December,2023,New York (JFK),Tokyo (HND),American Airlines,27,1.0,1141,1321.82
2023-06-30,6,June,2023,Chicago (ORD),Tokyo (HND),ANA,148,0.88,1118,812.51
2023-11-03,11,November,2023,New York (JFK),Tokyo (HND),ANA,106,1.25,1200,1511.77
2024-05-13,5,May,2024,New York (JFK),Osaka (KIX),United Airlines,28,1.4,1235,1793.79
2023-05-24,5,May,2023,Chicago (ORD),Osaka (KIX),ANA,16,1.4,1235,1876.15
2023-09-02,9,September,2023,Los Angeles (LAX),Tokyo (NRT),American Airlines,132,1.05,759,695.91
2024-10-20,10,October,2024,Chicago (ORD),Tokyo (NRT),American Airlines,85,1.3,1106,1282.17
2023-01-17,1,January,2023,Chicago (ORD),Osaka (KIX),Delta Airlines,16,0.82,1224,1080.14
2023-02-13,2,February,2023,San Francisco (SFO),Tokyo (NRT),United Airlines,110,0.85,765,644.49
2024-04-14,4,April,2024,New York (JFK),Tokyo (NRT),American Airlines,180,1.55,1165,1589.37
2023-08-27,8,August,2023,Seattle (SEA),Tokyo (NRT),American Airlines,25,0.95,824,898.42
2024-05-15,5,May,2024,New York (JFK),Osaka (KIX),ANA,174,1.4,1318,1784.24
2023-02-16,2,February,2023,New York (JFK),Tokyo (HND),American Airlines,69,0.85,1141,963.51
2024-10-09,10,October,2024,Los Angeles (LAX),Tokyo (NRT),ANA,19,1.3,795,1105.63
2024-09-17,9,September,2024,San Francisco (SFO),Tokyo (NRT),Delta Airlines,50,1.05,859,838.37
2023-04-27,4,April,2023,Seattle (SEA),Tokyo (NRT),Japan Airlines,134,1.55,918,1332.63
2023-03-06,3,March,2023,Seattle (SEA),Osaka (KIX),ANA,58,1.45,894,1339.02
2023-11-29,11,November,2023,Chicago (ORD),Tokyo (HND),Delta Airlines,37,1.25,1106,1390.33
2023-11-26,11,November,2023,Seattle (SEA),Osaka (KIX),ANA,61,1.25,894,1039.15
2023-12-10,12,December,2023,New York (JFK),Osaka (KIX),ANA,23,1.0,1318,1463.69
2024-03-01,3,March,2024,New York (JFK),Tokyo (HND),ANA,50,1.45,1200,1517.79
2024-03-25,3,March,2024,San Francisco (SFO),Osaka (KIX),ANA,69,1.45,871,1390.57
2023-04-13,4,April,2023,Seattle (SEA),Tokyo (NRT),ANA,168,1.55,847,1280.64
2023-01-17,1,January,2023,Seattle (SEA),Tokyo (HND),ANA,131,0.82,824,575.25
2023-07-03,7,July,2023,New York (JFK),Tokyo (NRT),Japan Airlines,29,0.92,1294,1304.06
2024-12-11,12,December,2024,Seattle (SEA),Tokyo (HND),Delta Airlines,128,1.0,847,725.56
2024-10-17,10,October,2024,Los Angeles (LAX),Tokyo (NRT),ANA,76,1.3,795,1035.58
2023-09-02,9,September,2023,Seattle (SEA),Tokyo (HND),Delta Airlines,51,1.05,847,786.13
2024-09-02,9,September,2024,Seattle (SEA),Osaka (KIX),Japan Airlines,53,1.05,965,952.07
2024-10-04,10,October,2024,Chicago (ORD),Osaka (KIX),Japan Airlines,84,1.3,1318,1520.58
2024-07-25,7,July,2024,San Francisco (SFO),Tokyo (HND),Japan Airlines,67,0.92,847,823.17
2023-04-08,4,April,2023,Los Angeles (LAX),Tokyo (NRT),American Airlines,165,1.55,759,1052.08
2023-08-13,8,August,2023,San Francisco (SFO),Osaka (KIX),American Airlines,125,0.95,835,699.31
2023-07-18,7,July,2023,Los Angeles (LAX),Tokyo (HND),Japan Airlines,35,0.92,811,750.76
2024-05-24,5,May,2024,Los Angeles (LAX),Osaka (KIX),Delta Airlines,52,1.4,847,1086.47
2023-02-25,2,February,2023,Los Angeles (LAX),Osaka (KIX),Japan Airlines,172,0.85,874,745.54
2024-03-21,3,March,2024,San Francisco (SFO),Tokyo (HND),ANA,71,1.45,800,1135.81
2023-02-14,2,February,2023,San Francisco (SFO),Osaka (KIX),Delta Airlines,33,0.85,906,791.04
2023-06-11,6,June,2023,New York (JFK),Osaka (KIX),ANA,14,0.88,1318,1138.68
2023-03-14,3,March,2023,Chicago (ORD),Osaka (KIX),Japan Airlines,67,1.45,1318,1944.12
2023-11-30,11,November,2023,Chicago (ORD),Osaka (KIX),American Airlines,114,1.25,1188,1390.39
2023-08-24,8,August,2023,Los Angeles (LAX),Osaka (KIX),United Airlines,35,0.95,765,735.59
2023-08-31,8,August,2023,San Francisco (SFO),Tokyo (NRT),Japan Airlines,112,0.95,894,751.28
2023-03-17,3,March,2023,Los Angeles (LAX),Tokyo (HND),ANA,127,1.45,779,1108.39
2024-03-22,3,March,2024,Seattle (SEA),Tokyo (HND),Japan Airlines,44,1.45,871,1272.88
2023-07-02,7,July,2023,Los Angeles (LAX),Osaka (KIX),Delta Airlines,106,0.92,847,763.97
2023-07-18,7,July,2023,San Francisco (SFO),Tokyo (NRT),Delta Airlines,168,0.92,859,778.35
2023-12-10,12,December,2023,San Francisco (SFO),Tokyo (HND),ANA,39,1.0,800,838.52
2023-03-03,3,March,2023,New York (JFK),Osaka (KIX),American Airlines,78,1.45,1247,1933.37
2024-04-14,4,April,2024,Los Angeles (LAX),Tokyo (NRT),Delta Airlines,114,1.55,838,1125.24
2023-10-30,10,October,2023,Los Angeles (LAX),Tokyo (HND),ANA,161,1.3,779,999.18
2023-06-24,6,June,2023,Los Angeles (LAX),Osaka (KIX),American Airlines,154,0.88,788,597.71
2024-02-26,2,February,2024,Seattle (SEA),Tokyo (NRT),Japan Airlines,140,0.85,918,718.46
2024-04-29,4,April,2024,Chicago (ORD),Tokyo (NRT),American Airlines,125,1.55,1106,1636.55
2023-09-10,9,September,2023,San Francisco (SFO),Tokyo (NRT),Delta Airlines,70,1.05,859,887.82
2023-08-16,8,August,2023,San Francisco (SFO),Tokyo (HND),American Airlines,158,0.95,765,632.43
2024-03-03,3,March,2024,Los Angeles (LAX),Osaka (KIX),Japan Airlines,18,1.45,874,1459.34
2023-02-04,2,February,2023,New York (JFK),Tokyo (HND),American Airlines,115,0.85,1141,786.13
2024-12-14,12,December,2024,Seattle (SEA),Tokyo (HND),Delta Airlines,32,1.0,847,853.82
2023-03-27,3,March,2023,Chicago (ORD),Tokyo (HND),ANA,149,1.45,1118,1638.13
2023-08-12,8,August,2023,New York (JFK),Osaka (KIX),Delta Airlines,40,0.95,1282,1235.11
2024-10-25,10,October,2024,San Francisco (SFO),Tokyo (HND),ANA,30,1.3,800,1118.98
2023-06-15,6,June,2023,New York (JFK),Tokyo (HND),United Airlines,124,0.88,1153,969.26
2023-01-25,1,January,2023,Seattle (SEA),Osaka (KIX),American Airlines,123,0.82,871,665.35
2023-07-09,7,July,2023,Chicago (ORD),Tokyo (NRT),Delta Airlines,101,0.92,1141,980.29
2024-10-04,10,October,2024,Chicago (ORD),Osaka (KIX),Japan Airlines,25,1.3,1318,1802.88
2024-06-27,6,June,2024,Chicago (ORD),Osaka (KIX),United Airlines,15,0.88,1165,1107.56
2024-12-15,12,December,2024,San Francisco (SFO),Tokyo (HND),United Airlines,163,1.0,765,646.41
2024-12-02,12,December,2024,Seattle (SEA),Osaka (KIX),ANA,27,1.0,894,888.91
2024-06-11,6,June,2024,Seattle (SEA),Tokyo (HND),Japan Airlines,179,0.88,871,632.01
2024-01-28,1,January,2024,San Francisco (SFO),Tokyo (NRT),Japan Airlines,100,0.82,894,723.41
2024-01-10,1,January,2024,Chicago (ORD),Osaka (KIX),Japan Airlines,100,0.82,1318,998.75
2024-12-22,12,December,2024,Los Angeles (LAX),Osaka (KIX),American Airlines,24,1.0,788,986.06
2023-05-22,5,May,2023,Seattle (SEA),Osaka (KIX),ANA,92,1.4,894,1281.54
2024-10-26,10,October,2024,Los Angeles (LAX),Osaka (KIX),Japan Airlines,129,1.3,874,1165.12
2023-08-19,8,August,2023,Seattle (SEA),Osaka (KIX),ANA,89,0.95,894,782.83
2024-11-27,11,November,2024,San Francisco (SFO),Tokyo (HND),American Airlines,115,1.25,765,957.76
2024-01-17,1,January,2024,San Francisco (SFO),Tokyo (NRT),Japan Airlines,95,0.82,894,652.97
2024-06-23,6,June,2024,Chicago (ORD),Tokyo (HND),American Airlines,38,0.88,1082,1051.61
2024-11-25,11,November,2024,Chicago (ORD),Osaka (KIX),American Airlines,143,1.25,1188,1406.69
2024-01-12,1,January,2024,San Francisco (SFO),Tokyo (HND),American Airlines,179,0.82,765,541.05
2023-03-31,3,March,2023,New York (JFK),Tokyo (NRT),Delta Airlines,27,1.45,1200,2108.26
2023-03-20,3,March,2023,Chicago (ORD),Tokyo (NRT),United Airlines,34,1.45,1082,1809.71
2024-12-14,12,December,2024,Los Angeles (LAX),Tokyo (HND),Japan Airlines,44,1.0,811,880.08
2024-06-17,6,June,2024,Chicago (ORD),Tokyo (NRT),ANA,167,0.88,1153,977.88
2024-11-29,11,November,2024,New York (JFK),Tokyo (HND),Delta Airlines,145,1.25,1176,1360.48
2024-03-06,3,March,2024,Los Angeles (LAX),Tokyo (HND),United Airlines,120,1.45,735,1042.84
2023-03-06,3,March,2023,New York (JFK),Tokyo (HND),ANA,12,1.45,1200,1984.41
2024-02-26,2,February,2024,Los Angeles (LAX),Osaka (KIX),United Airlines,155,0.85,765,565.79
2024-05-12,5,May,2024,San Francisco (SFO),Osaka (KIX),United Airlines,158,1.4,812,1001.59
2024-04-13,4,April,2024,Seattle (SEA),Osaka (KIX),Delta Airlines,84,1.55,918,1251.48
2023-06-25,6,June,2023,Seattle (SEA),Tokyo (NRT),United Airlines,73,0.88,800,743.08
2023-10-23,10,October,2023,Los Angeles (LAX),Tokyo (HND),United Airlines,19,1.3,735,1090.58
2024-04-11,4,April,2024,Los Angeles (LAX),Tokyo (HND),United Airlines,49,1.55,735,1144.12
2023-10-20,10,October,2023,Seattle (SEA),Tokyo (NRT),American Airlines,53,1.3,824,945.53
2023-06-15,6,June,2023,Los Angeles (LAX),Osaka (KIX),ANA,67,0.88,808,614.14
2024-08-11,8,August,2024,New York (JFK),Tokyo (NRT),United Airlines,39,0.95,1153,1291.79
2023-07-08,7,July,2023,Chicago (ORD),Tokyo (HND),United Airlines,59,0.92,1082,1068.31
2024-11-12,11,November,2024,Seattle (SEA),Osaka (KIX),Japan Airlines,88,1.25,965,1060.93
2024-04-04,4,April,2024,San Francisco (SFO),Tokyo (NRT),United Airlines,145,1.55,765,1021.28
2023-05-05,5,May,2023,Los Angeles (LAX),Osaka (KIX),United Airlines,13,1.4,765,1171.19
2024-04-14,4,April,2024,Chicago (ORD),Tokyo (HND),ANA,88,1.55,1118,1631.15
2024-06-03,6,June,2024,Los Angeles (LAX),Tokyo (NRT),American Airlines,91,0.88,759,685.31
2024-08-10,8,August,2024,San Francisco (SFO),Tokyo (HND),United Airlines,177,0.95,765,667.05
2023-12-13,12,December,2023,Los Angeles (LAX),Osaka (KIX),Delta Airlines,35,1.0,847,997.72
2024-11-25,11,November,2024,Chicago (ORD),Tokyo (NRT),ANA,148,1.25,1153,1287.29
2024-02-16,2,February,2024,New York (JFK),Tokyo (HND),Japan Airlines,165,0.85,1247,1123.96
2023-04-05,4,April,2023,Los Angeles (LAX),Tokyo (HND),United Airlines,90,1.55,735,943.34
2024-08-20,8,August,2024,New York (JFK),Osaka (KIX),ANA,141,0.95,1318,1173.39
2023-01-24,1,January,2023,Los Angeles (LAX),Tokyo (HND),ANA,28,0.82,779,669.76
2024-06-08,6,June,2024,Seattle (SEA),Tokyo (HND),Japan Airlines,107,0.88,871,763.4
2024-09-09,9,September,2024,Los Angeles (LAX),Tokyo (HND),United Airlines,161,1.05,735,794.07
2024-02-12,2,February,2024,Seattle (SEA),Tokyo (NRT),United Airlines,44,0.85,800,736.67
2024-01-17,1,January,2024,Chicago (ORD),Tokyo (HND),Delta Airlines,10,0.82,1106,922.6
2023-11-12,11,November,2023,San Francisco (SFO),Tokyo (HND),United Airlines,121,1.25,765,831.85
2024-03-30,3,March,2024,Seattle (SEA),Tokyo (NRT),ANA,113,1.45,847,1022.79
2024-03-10,3,March,2024,Chicago (ORD),Tokyo (HND),ANA,113,1.45,1118,1312.23
2023-03-30,3,March,2023,Los Angeles (LAX),Osaka (KIX),American Airlines,43,1.45,788,1341.13
2024-06-21,6,June,2024,Los Angeles (LAX),Tokyo (HND),Delta Airlines,92,0.88,882,696.78
2023-04-01,4,April,2023,New York (JFK),Osaka (KIX),Delta Airlines,8,1.55,1282,1828.72
2024-02-29,2,February,2024,Chicago (ORD),Osaka (KIX),United Airlines,51,0.85,1165,922.07
2023-05-21,5,May,2023,Seattle (SEA),Tokyo (HND),American Airlines,58,1.4,800,1024.06
2024-07-21,7,July,2024,Los Angeles (LAX),Tokyo (HND),United Airlines,132,0.92,735,550.94
2023-11-08,11,November,2023,New York (JFK),Tokyo (HND),American Airlines,133,1.25,1141,1339.26
2023-08-18,8,August,2023,Seattle (SEA),Osaka (KIX),Delta Airlines,13,0.95,918,841.32
2023-11-04,11,November,2023,New York (JFK),Tokyo (NRT),United Airlines,170,1.25,1153,1264.72
2024-03-03,3,March,2024,Chicago (ORD),Tokyo (NRT),United Airlines,52,1.45,1082,1488.45
2023-01-30,1,January,2023,Chicago (ORD),Osaka (KIX),ANA,37,0.82,1235,1137.15
2024-09-05,9,September,2024,San Francisco (SFO),Tokyo (HND),Japan Airlines,99,1.05,847,800.44
2024-03-22,3,March,2024,Seattle (SEA),Tokyo (HND),American Airlines,73,1.45,800,1169.93
2024-01-18,1,January,2024,Chicago (ORD),Osaka (KIX),Japan Airlines,138,0.82,1318,1014.72
2023-06-16,6,June,2023,Seattle (SEA),Tokyo (NRT),United Airlines,155,0.88,800,645.64
2024-04-17,4,April,2024,New York (JFK),Tokyo (NRT),United Airlines,41,1.55,1153,2144.73
2023-10-07,10,October,2023,San Francisco (SFO),Tokyo (NRT),Japan Airlines,99,1.3,894,1042.88
2023-02-19,2,February,2023,Chicago (ORD),Osaka (KIX),United Airlines,81,0.85,1165,972.92
2024-06-10,6,June,2024,San Francisco (SFO),Osaka (KIX),Japan Airlines,56,0.88,941,763.9
2023-06-21,6,June,2023,Los Angeles (LAX),Tokyo (NRT),American Airlines,146,0.88,759,627.83
2023-10-05,10,October,2023,San Francisco (SFO),Tokyo (HND),United Airlines,99,1.3,765,930.53
2023-12-27,12,December,2023,New York (JFK),Osaka (KIX),American Airlines,43,1.0,1247,1258.16
2023-10-16,10,October,2023,New York (JFK),Tokyo (NRT),American Airlines,102,1.3,1165,1309.36
2023-06-16,6,June,2023,Chicago (ORD),Tokyo (HND),United Airlines,33,0.88,1082,1048.59
2023-08-15,8,August,2023,Los Angeles (LAX),Tokyo (NRT),American Airlines,55,0.95,759,708.88
2024-06-28,6,June,2024,Seattle (SEA),Osaka (KIX),American Airlines,148,0.88,871,744.26
2023-03-20,3,March,2023,New York (JFK),Tokyo (HND),Delta Airlines,36,1.45,1176,1638.4
2023-12-23,12,December,2023,Los Angeles (LAX),Tokyo (NRT),Delta Airlines,86,1.0,838,871.9
2024-09-03,9,September,2024,San Francisco (SFO),Tokyo (NRT),Delta Airlines,140,1.05,859,929.8
2023-01-30,1,January,2023,San Francisco (SFO),Tokyo (NRT),United Airlines,37,0.82,765,735.39
2024-12-05,12,December,2024,Los Angeles (LAX),Tokyo (NRT),ANA,65,1.0,795,767.39
2023-05-14,5,May,2023,San Francisco (SFO),Tokyo (NRT),ANA,27,1.4,824,1190.11
2023-03-21,3,March,2023,Chicago (ORD),Osaka (KIX),Japan Airlines,11,1.45,1318,2353.33
2023-07-21,7,July,2023,Chicago (ORD),Tokyo (HND),Japan Airlines,34,0.92,1188,1116.47
2024-08-30,8,August,2024,New York (JFK),Osaka (KIX),American Airlines,22,0.95,1247,1296.23
2023-02-14,2,February,2023,Chicago (ORD),Tokyo (NRT),United Airlines,23,0.85,1082,1055.22
2023-04-09,4,April,2023,San Francisco (SFO),Osaka (KIX),Japan Airlines,38,1.55,941,1482.18
2023-07-24,7,July,2023,Seattle (SEA),Tokyo (NRT),American Airlines,54,0.92,824,729.05
2023-05-30,5,May,2023,San Francisco (SFO),Tokyo (NRT),Japan Airlines,78,1.4,894,1329.08
2023-06-14,6,June,2023,Seattle (SEA),Tokyo (HND),United Airlines,135,0.88,800,646.44
2024-08-06,8,August,2024,Seattle (SEA),Tokyo (NRT),American Airlines,24,0.95,824,853.94
2024-06-25,6,June,2024,New York (JFK),Osaka (KIX),Japan Airlines,62,0.88,1376,1215.15
2024-07-04,7,July,2024,Los Angeles (LAX),Tokyo (HND),ANA,8,0.92,779,771.72
2024-12-25,12,December,2024,New York (JFK),Tokyo (NRT),American Airlines,128,1.0,1165,990.61
2023-07-09,7,July,2023,San Francisco (SFO),Osaka (KIX),American Airlines,119,0.92,835,659.94
2024-01-24,1,January,2024,New York (JFK),Tokyo (NRT),United Airlines,115,0.82,1153,844.23
2024-02-22,2,February,2024,Los Angeles (LAX),Osaka (KIX),ANA,35,0.85,808,799.75
2023-04-23,4,April,2023,San Francisco (SFO),Tokyo (NRT),Delta Airlines,140,1.55,859,1231.43
2024-12-22,12,December,2024,Los Angeles (LAX),Tokyo (HND),United Airlines,80,1.0,735,682.68
2023-03-26,3,March,2023,Seattle (SEA),Osaka (KIX),Japan Airlines,90,1.45,965,1227.27
2023-10-18,10,October,2023,Chicago (ORD),Tokyo (NRT),Delta Airlines,123,1.3,1141,1511.4
2024-12-04,12,December,2024,Seattle (SEA),Osaka (KIX),United Airlines,120,1.0,847,759.14
2023-10-25,10,October,2023,Los Angeles (LAX),Osaka (KIX),Delta Airlines,116,1.3,847,1092.49
2024-11-26,11,November,2024,Los Angeles (LAX),Tokyo (NRT),Delta Airlines,101,1.25,838,1059.84
2024-11-19,11,November,2024,Los Angeles (LAX),Tokyo (NRT),Delta Airlines,33,1.25,838,1221.81
2024-11-05,11,November,2024,Chicago (ORD),Tokyo (HND),American Airlines,180,1.25,1082,1162.1
2024-02-09,2,February,2024,New York (JFK),Tokyo (NRT),ANA,109,0.85,1235,1022.64
2023-03-08,3,March,2023,Seattle (SEA),Tokyo (NRT),ANA,100,1.45,847,1014.99
2024-09-01,9,September,2024,Los Angeles (LAX),Tokyo (HND),ANA,110,1.05,779,847.62
2024-05-26,5,May,2024,New York (JFK),Tokyo (NRT),Delta Airlines,78,1.4,1200,1850.34
2024-10-21,10,October,2024,Seattle (SEA),Osaka (KIX),United Airlines,109,1.3,847,1057.89
2024-02-19,2,February,2024,San Francisco (SFO),Tokyo (HND),American Airlines,131,0.85,765,662.7
2024-04-10,4,April,2024,Seattle (SEA),Tokyo (HND),ANA,34,1.55,824,1370.94
2024-05-24,5,May,2024,New York (JFK),Tokyo (HND),Delta Airlines,66,1.4,1176,1636.34
2023-02-24,2,February,2023,Los Angeles (LAX),Tokyo (NRT),Japan Airlines,24,0.85,870,731.2
2023-07-03,7,July,2023,Chicago (ORD),Osaka (KIX),Japan Airlines,104,0.92,1318,1044.55
2023-06-06,6,June,2023,Seattle (SEA),Osaka (KIX),United Airlines,84,0.88,847,680.29
2023-03-20,3,March,2023,Seattle (SEA),Osaka (KIX),Japan Airlines,176,1.45,965,1421.97
2023-07-26,7,July,2023,Seattle (SEA),Tokyo (HND),Delta Airlines,82,0.92,847,688.72
2023-09-25,9,September,2023,Chicago (ORD),Tokyo (HND),American Airlines,145,1.05,1082,1087.81
2023-01-19,1,January,2023,San Francisco (SFO),Osaka (KIX),American Airlines,15,0.82,835,815.58
2024-04-05,4,April,2024,Chicago (ORD),Tokyo (NRT),Delta Airlines,87,1.55,1141,1835.64
2023-02-06,2,February,2023,Chicago (ORD),Tokyo (HND),Delta Airlines,15,0.85,1106,1036.93
2024-12-24,12,December,2024,Los Angeles (LAX),Osaka (KIX),United Airlines,49,1.0,765,841.0
2023-11-16,11,November,2023,Chicago (ORD),Tokyo (HND),ANA,106,1.25,1118,1210.47
2024-11-22,11,November,2024,Chicago (ORD),Tokyo (NRT),American Airlines,132,1.25,1106,1206.38
2024-08-08,8,August,2024,Seattle (SEA),Osaka (KIX),American Airlines,127,0.95,871,720.34
2024-06-02,6,June,2024,Chicago (ORD),Osaka (KIX),ANA,21,0.88,1235,1134.16
2024-08-28,8,August,2024,Chicago (ORD),Tokyo (HND),Delta Airlines,103,0.95,1106,1073.64
2023-10-19,10,October,2023,Seattle (SEA),Osaka (KIX),United Airlines,89,1.3,847,1126.9
2023-02-16,2,February,2023,New York (JFK),Tokyo (NRT),American Airlines,39,0.85,1165,991.37
2023-01-28,1,January,2023,San Francisco (SFO),Tokyo (HND),American Airlines,167,0.82,765,558.22
2024-03-14,3,March,2024,San Francisco (SFO),Tokyo (HND),Japan Airlines,95,1.45,847,984.62
2023-02-27,2,February,2023,San Francisco (SFO),Tokyo (HND),United Airlines,176,0.85,765,553.88
2024-10-25,10,October,2024,Los Angeles (LAX),Tokyo (NRT),ANA,86,1.3,795,959.19
2023-11-09,11,November,2023,Seattle (SEA),Tokyo (NRT),Japan Airlines,36,1.25,918,1129.41
2024-07-05,7,July,2024,San Francisco (SFO),Tokyo (NRT),Japan Airlines,90,0.92,894,756.69
2024-08-04,8,August,2024,New York (JFK),Tokyo (HND),Delta Airlines,138,0.95,1176,1110.47
2024-12-13,12,December,2024,Chicago (ORD),Tokyo (HND),Japan Airlines,127,1.0,1188,1262.8
2024-01-22,1,January,2024,Seattle (SEA),Tokyo (NRT),United Airlines,153,0.82,800,676.14
2023-04-11,4,April,2023,Chicago (ORD),Tokyo (HND),American Airlines,132,1.55,1082,1468.75
2023-12-11,12,December,2023,New York (JFK),Osaka (KIX),ANA,134,1.0,1318,1049.47
2023-06-20,6,June,2023,Seattle (SEA),Osaka (KIX),United Airlines,164,0.88,847,758.99
2023-07-26,7,July,2023,San Francisco (SFO),Tokyo (HND),Delta Airlines,134,0.92,835,775.38
2023-10-22,10,October,2023,New York (JFK),Osaka (KIX),ANA,74,1.3,1318,1897.52
2024-02-16,2,February,2024,New York (JFK),Tokyo (HND),American Airlines,64,0.85,1141,866.77
2024-08-15,8,August,2024,Seattle (SEA),Osaka (KIX),Japan Airlines,31,0.95,965,930.33
2023-03-10,3,March,2023,Seattle (SEA),Tokyo (HND),United Airlines,152,1.45,800,937.11
2023-08-03,8,August,2023,Seattle (SEA),Tokyo (HND),Delta Airlines,95,0.95,847,800.1
2024-05-31,5,May,2024,New York (JFK),Osaka (KIX),United Airlines,83,1.4,1235,1644.38
2023-11-17,11,November,2023,Chicago (ORD),Osaka (KIX),American Airlines,58,1.25,1188,1321.41
2024-10-01,10,October,2024,Chicago (ORD),Tokyo (HND),United Airlines,138,1.3,1082,1400.31
2023-07-04,7,July,2023,Chicago (ORD),Osaka (KIX),American Airlines,11,0.92,1188,1190.88
2024-05-26,5,May,2024,Seattle (SEA),Tokyo (NRT),American Airlines,61,1.4,824,1238.67
2024-09-21,9,September,2024,Chicago (ORD),Tokyo (HND),American Airlines,118,1.05,1082,1079.82
2024-06-18,6,June,2024,Seattle (SEA),Osaka (KIX),Japan Airlines,58,0.88,965,915.24
2023-09-04,9,September,2023,San Francisco (SFO),Tokyo (HND),ANA,45,1.05,800,872.89
2023-11-23,11,November,2023,San Francisco (SFO),Tokyo (HND),Delta Airlines,23,1.25,835,1193.93
2023-10-21,10,October,2023,Los Angeles (LAX),Tokyo (HND),United Airlines,172,1.3,735,917.83
2023-08-30,8,August,2023,Los Angeles (LAX),Tokyo (HND),American Airlines,110,0.95,759,629.45
2023-07-16,7,July,2023,Los Angeles (LAX),Tokyo (NRT),ANA,14,0.92,795,920.11
2024-05-12,5,May,2024,Los Angeles (LAX),Tokyo (HND),Delta Airlines,150,1.4,882,1101.81
2023-07-26,7,July,2023,Chicago (ORD),Tokyo (HND),Japan Airlines,47,0.92,1188,1037.36
2023-09-22,9,September,2023,San Francisco (SFO),Tokyo (NRT),Japan Airlines,78,1.05,894,1042.34
2024-05-12,5,May,2024,Seattle (SEA),Tokyo (NRT),Japan Airlines,12,1.4,918,1534.89
2024-09-08,9,September,2024,New York (JFK),Tokyo (NRT),United Airlines,83,1.05,1153,1180.46
2024-11-18,11,November,2024,New York (JFK),Tokyo (HND),United Airlines,175,1.25,1153,1341.11
2023-08-30,8,August,2023,New York (JFK),Tokyo (HND),ANA,35,0.95,1200,1269.99
2023-05-04,5,May,2023,Seattle (SEA),Osaka (KIX),American Airlines,140,1.4,871,1207.13
2024-05-23,5,May,2024,Seattle (SEA),Osaka (KIX),United Airlines,30,1.4,847,1316.13
2023-11-17,11,November,2023,Los Angeles (LAX),Osaka (KIX),Japan Airlines,91,1.25,874,1073.68
2023-08-30,8,August,2023,Seattle (SEA),Osaka (KIX),Delta Airlines,115,0.95,918,737.66
2023-06-29,6,June,2023,Los Angeles (LAX),Tokyo (NRT),Japan Airlines,61,0.88,870,784.22
2023-09-18,9,September,2023,San Francisco (SFO),Tokyo (HND),Delta Airlines,157,1.05,835,763.53
2024-01-19,1,January,2024,New York (JFK),Tokyo (HND),American Airlines,35,0.82,1141,1024.41
2024-05-01,5,May,2024,San Francisco (SFO),Osaka (KIX),Delta Airlines,70,1.4,906,1318.84
2024-05-01,5,May,2024,San Francisco (SFO),Tokyo (NRT),United Airlines,101,1.4,765,900.14
